"datasetKey","scientificName","acceptedScientificName","kingdom","genus","species","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","year","month","day","eventDate","verbatimEventDate"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-82.527711,49.298511,NA,2017,8,31,"2017-08-31T14:21:00","2017/08/31 2:21 PM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-82.713106,49.165489,NA,2017,8,30,"2017-08-30T09:50:00","2017/08/30 9:50 AM EDT"
"0348540a-e644-4496-89d3-c257da9ad776","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-75.397761,45.611403,NA,2017,8,3,"2017-08-03T00:00:00",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-78.460516,45.718305,NA,2017,9,7,"2017-09-07T10:23:00","2017/09/07 10:23 AM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-84.487367,45.27557,NA,2017,9,24,"2017-09-24T16:37:49","Sun Sep 24 2017 16:37:49 GMT-0400 (EDT)"
"f3f03cbf-1a01-4739-ae15-c1355b8c2dbf","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-80.1785,40.9365,50,2017,9,9,"2017-09-09T00:00:00","2017-9-9"
"f3f03cbf-1a01-4739-ae15-c1355b8c2dbf","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-80.0008,41.0075,50,2017,9,16,"2017-09-16T00:00:00","2017-9-16"
"0348540a-e644-4496-89d3-c257da9ad776","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-75.8945345969511,45.551593362306,NA,2016,6,21,"2016-06-21T00:00:00","21 juin 2016"
"07fd0d79-4883-435f-bba1-58fef110cd13","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-74.7936,45.03281,8,2016,6,29,"2016-06-29T00:00:00","2016 Jun 29"
"963f12d0-f762-11e1-a439-00145eb45e9a","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-72.757495,41.244727,198,2016,7,8,"2016-07-08T00:00:00",NA
"c8d12f8a-7e39-4e2c-92d7-825d590ad15b","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-85.455725,42.656411,NA,2016,7,27,"2016-07-27T00:00:00",NA
"c8d12f8a-7e39-4e2c-92d7-825d590ad15b","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-86.01244,42.52336,NA,2015,6,19,"2015-06-19T00:00:00",NA
"c8d12f8a-7e39-4e2c-92d7-825d590ad15b","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-86.00773,42.5345,NA,2015,7,1,"2015-07-01T00:00:00",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-72.499827,45.852302,40,2015,7,31,"2015-07-31T00:00:00","2015/07/31"
